timestamp,frame,track_id,plate,raw_ocr,confidence,stability,x1,y1,x2,y2
2026-02-24T00:26:31.382079,83,1,,,0.000,0.000,730,370,766,389
2026-02-24T00:26:31.730690,92,1,,,0.000,0.000,728,377,774,392
2026-02-24T00:26:32.019445,100,2,,,0.000,0.000,723,381,772,398
2026-02-24T00:26:32.346291,111,3,,,0.000,0.000,723,391,769,407
2026-02-24T00:26:35.162438,186,4,,,0.000,0.000,750,421,811,440
2026-02-24T00:26:37.173999,233,5,,,0.000,0.000,644,482,735,506
2026-02-24T00:26:37.563075,242,6,,,0.000,0.000,582,496,681,522
2026-02-24T00:26:37.864363,250,7,,,0.000,0.000,500,513,605,540
2026-02-24T00:26:38.211492,255,8,,67,0.065,0.000,378,537,495,567
2026-02-24T00:26:38.512462,261,9,,,0.000,0.000,281,558,404,594
2026-02-24T00:26:39.278422,272,10,,,0.000,0.000,-21,656,56,698
2026-02-24T00:26:47.334061,491,12,,E,0.061,0.000,737,390,802,411
2026-02-24T00:26:48.927029,528,13,,,0.000,0.000,712,395,782,415
2026-02-24T00:26:55.808009,637,14,,KA02K93JT,0.540,0.000,409,578,597,633
2026-02-24T00:26:56.389588,645,15,,33777A02MIFIQOQ,0.241,0.000,289,624,511,686
2026-02-24T00:27:01.488489,781,11,,,0.000,0.000,999,360,1082,386
