timestamp,frame,track_id,plate,raw_ocr,confidence,stability,x1,y1,x2,y2
2026-02-24T00:27:19.098291,83,1,,,0.000,0.000,730,370,766,389
2026-02-24T00:27:19.451482,92,1,,,0.000,0.000,728,377,774,392
2026-02-24T00:27:19.727502,100,2,,,0.000,0.000,723,381,772,398
2026-02-24T00:27:20.051915,111,3,,,0.000,0.000,723,391,769,407
2026-02-24T00:27:22.709451,186,4,,,0.000,0.000,750,421,811,440
2026-02-24T00:27:24.651320,233,5,,,0.000,0.000,644,482,735,506
2026-02-24T00:27:25.003258,242,6,,,0.000,0.000,582,496,681,522
2026-02-24T00:27:25.301160,250,7,,,0.000,0.000,500,513,605,540
2026-02-24T00:27:25.597274,255,8,,67,0.065,0.000,378,537,495,567
2026-02-24T00:27:25.886637,261,9,,,0.000,0.000,281,558,404,594
2026-02-24T00:27:26.504191,272,10,,,0.000,0.000,-21,656,56,698
2026-02-24T00:27:34.437866,491,12,,E,0.061,0.000,737,390,802,411
2026-02-24T00:27:36.001004,528,13,,,0.000,0.000,712,395,782,415
2026-02-24T00:27:43.144847,637,14,,KA02K93JT,0.540,0.000,409,578,597,633
2026-02-24T00:27:43.763047,645,15,,33777A02MIFIQOQ,0.241,0.000,289,624,511,686
2026-02-24T00:27:49.028462,781,11,,,0.000,0.000,999,360,1082,386
